#timestamp_lkf,mono_status,stereo_status,nr_keypoints,nrDetectedFeatures,nrTrackerFeatures,nrMonoInliers,nrMonoPutatives,nrStereoInliers,nrStereoPutatives,monoRansacIters,stereoRansacIters,nrValidRKP,nrNoLeftRectRKP,nrNoRightRectRKP,nrNoDepthRKP,nrFailedArunRKP,featureDetectionTime,featureTrackingTime,monoRansacTime,stereoRansacTime,featureSelectionTime,extracted_corners,need_n_corners
467968000000,VALID,DISABLED,307,0,306,306,306,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0
468228000000,VALID,DISABLED,303,0,307,302,307,0,0,3,0,0,0,0,0,0,0,5,3,0,0,0,0
468480000000,VALID,DISABLED,308,0,226,186,226,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0
468724000000,VALID,DISABLED,305,0,307,304,307,0,0,4,0,0,0,0,0,0,0,14,0,0,0,0,0
468960000000,VALID,DISABLED,303,0,304,269,304,0,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0
469208000000,VALID,DISABLED,300,0,291,279,291,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0
469412000000,VALID,DISABLED,301,0,296,271,296,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0
469624000000,VALID,DISABLED,302,0,292,274,292,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0
469832000000,VALID,DISABLED,298,0,298,283,298,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0
470072000000,VALID,DISABLED,296,0,293,221,293,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0
470276000000,VALID,DISABLED,300,0,296,270,296,0,0,3,0,0,0,0,0,0,0,18,0,0,0,0,0
470480000000,VALID,DISABLED,301,0,299,291,299,0,0,2,0,0,0,0,0,0,0,20,0,0,0,0,0
470720000000,VALID,DISABLED,299,0,301,290,301,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0
471000000000,VALID,DISABLED,298,0,296,260,296,0,0,4,0,0,0,0,0,0,0,17,0,0,0,0,0
471284000000,VALID,DISABLED,299,0,292,292,292,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0
471544000000,VALID,DISABLED,300,0,298,298,298,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0
471776000000,VALID,DISABLED,300,0,299,298,299,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0
471992000000,VALID,DISABLED,301,0,300,300,300,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0
472276000000,VALID,DISABLED,300,0,301,295,301,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0
